UBIGEO,lst_mean_2001,lst_mean_2002,lst_mean_2003,lst_mean_2004,lst_mean_2005,lst_mean_2006,lst_mean_2007,lst_mean_2008,lst_mean_2009,lst_mean_2010,lst_mean_2011,lst_mean_2012,lst_mean_2013,lst_mean_2014,lst_mean_2015,lst_mean_2016,lst_mean_2017,lst_mean_2018,lst_mean_2019,lst_mean_2020,lst_mean_2021,lst_mean_2022,lst_mean_2023,lst_mean_2024
01,23.46463998066677,23.082837666110944,23.54194772874813,23.590827651035873,23.55139547310165,23.882725616199302,23.924593433116744,23.033916517147293,24.334464713829252,24.464064759613407,23.27114153881998,23.647501192484917,24.049430619992222,24.03744253201716,23.72232888916781,24.664761278311907,23.537749025726352,23.854555921740765,23.065130085381767,23.91876520876758,23.52764934991104,23.721246150879324,23.844882351689844,23.431538326245352
02,27.194270575117244,26.101929143829665,27.462658710259007,26.69975038830704,27.876726448225583,27.14434397472123,27.07251559670876,26.298172796040507,26.290041027764655,27.35653379223319,27.01677505273906,26.702126601102517,27.027119177823618,26.95226537614861,27.309488760861754,28.797262753003583,26.50906303989385,26.803602841330946,26.873038049822934,27.741361620414498,26.25117752757764,26.863752095039214,25.03098726751142,24.475495716685224
03,22.539649697893243,20.561914136764184,23.334337118030327,21.498699556572646,24.077821414117285,22.83010184911669,22.565710090858786,23.471885582325182,23.36299343174327,24.15909956693726,22.734495295500416,22.229633909517958,22.221754867069812,22.079821834898873,22.950215068901883,24.81821531043238,22.052323370299746,21.367153716154903,22.058748861076968,23.51218630310515,22.429068345525955,24.217074607802463,21.5282100503189,19.396777461321268
04,32.61227956977695,31.752434870129672,33.059523962003404,32.48139284577008,32.958353892758744,32.04749489419935,32.07367118710672,32.99611308169006,32.69372227858772,33.37336035567248,32.514624350870136,31.73067579588662,32.74067217770244,33.1036417631527,32.710885948452216,34.24803166840503,31.822459595858884,32.53984877678007,32.5536705454223,32.16049738187019,32.1384474445087,31.812003991927153,30.895822518487005,29.28393799339838
05,25.504251056068746,24.308867558640042,26.231277922383395,25.552845725104664,26.98420592283279,25.380954881702024,25.481733114251114,26.23182183148937,25.71190018260345,27.0453655453341,25.555392713697177,25.02190925527068,25.449855087043613,25.628192406992085,25.917056908277104,28.024552306272124,24.825282816635323,25.061941418032262,25.1994590941092,26.020589355419126,25.186227980778447,25.846775159669466,23.955809786639012,22.55311545474859
06,25.462957221076273,24.660936944012207,25.668449226819806,25.567474185334483,26.03662496989638,25.98473216928968,25.31774209085477,23.82105188128633,24.851794718332048,25.861756708092724,24.77776715518796,24.63313135411075,24.990382824949567,25.07085539783119,25.013402654689003,26.82480035095101,24.71438631135462,24.854197109902536,24.21430204777065,25.597987358212574,23.659094389098993,24.85666351979034,23.804551494129676,23.922234603170416
07,35.805192001103755,31.874424593242477,31.933924604733274,31.13953684965149,31.64541900907902,31.413686722492987,32.64409749091965,34.73702921221619,32.94537613664567,32.946453421895846,33.20245942811684,34.23536607275907,32.90039822420055,34.63560518530233,34.00798468204565,33.735679047490834,35.727693338586164,33.58727191639633,35.135453716798004,34.09646853806195,34.40222327022308,31.46406721568229,32.238150306883824,32.17748046434015
08,21.364047589104267,20.053235724783534,21.570678166258237,20.425453411468972,21.768394761263952,21.223575127335085,21.319856717131014,21.7830999514305,21.761970962643122,22.43061656861661,21.300029117880936,21.507418486487904,21.3361027153504,21.384612063309095,21.503115552561926,22.34101796699222,21.289823262742082,20.770244632524797,21.623314670511814,22.20641036457508,21.48328684091083,21.84854080560154,21.101526188084343,20.000109685809058
09,23.769769274397678,22.669217131043,24.94999410704905,23.923272792020263,26.156366878583484,24.285325988560725,24.334520558636275,25.053714590749607,24.279854821051856,25.89884565778037,24.109248588681307,23.60552007209207,23.898713777276974,23.484735867625474,24.536310889826037,26.577536746320597,23.650990738340266,23.307414082101744,24.122007620902483,25.191295095225907,23.60849358913778,25.132210963925136,22.858087974637098,21.11261843755202
10,21.913178134102285,20.950290672374134,21.828258249861243,21.009851679815508,22.173366578931294,21.716825116076052,21.961520248854747,21.722969896742157,21.51167941709553,22.698294569508317,21.60347793027753,22.230447184989348,21.939553762379624,22.07607853418081,22.545898627245176,23.029251389737965,22.054800805878326,21.96803854862261,22.351717175086897,22.71309881436254,22.149218250263594,22.23834315020933,21.973137479431927,21.543300249178827
11,40.32928470879267,39.42825278181535,39.515945544457296,39.02964583284894,38.79587675797471,39.113792906605276,38.817440762586486,38.81583428452629,39.00481036603605,39.05029224711664,39.12051974334771,39.20738573618094,39.43951432251513,39.52425002203617,39.56378974193571,40.38341521089549,38.681019116045306,39.66972814158307,39.22538137233522,39.204118077996846,39.041287091864,37.84482598642086,37.895449268310564,36.11416988711336
12,20.911622318579244,19.745768036578454,21.222725140449022,20.490943474137893,21.85964751121815,21.083366973490282,21.26846110796756,21.43088027469179,21.165371181191066,22.32472398211255,20.79388973611751,20.962655452177806,20.984171328886173,20.906979896078518,21.54310639731758,22.29997353606992,21.047203290863145,20.65163823625071,21.61954381943226,22.160431437512226,21.224494246451854,21.5347267842216,20.76007253359627,20.156561869635937
13,29.242908090683084,28.199400950109798,29.155526663630166,29.115452494775827,29.583608547740425,29.115330083345185,28.844178877324754,28.124869944565354,28.52669457590424,28.81069623003785,28.818447275605084,28.913237789994223,28.757112083320653,28.9583170791975,29.050021158049237,30.342058735731705,28.147214512197163,28.88523907756665,28.557031276620144,29.370244934526315,28.28336694756322,28.23932054981776,27.141818599378713,26.676644029978736
14,37.00207681830015,34.96378831937932,36.2517129182951,37.83466774683906,36.76874280565712,37.294288685162265,36.989773384530196,36.294253893803344,36.972014207061534,35.906444530179805,37.983691426956355,35.94776260205452,37.17567212591358,38.132690577532124,37.827265054533434,37.33968141141135,33.67037842098706,35.77498011028329,35.32874137036852,36.9289992402858,36.82689397598229,35.608060699396844,33.40436944528518,33.26933857753032
15,30.1217011081879,29.016084256394837,29.977310498487427,29.341326867037427,30.33887106008814,29.317144602906893,29.357858783392427,29.550481964935642,29.310863747339095,29.86674308010045,29.607448900367945,29.159409292853823,29.989656022923914,29.7763023961329,29.950690213959085,31.235186557983752,29.00055017089352,29.56367571190562,29.788139792864992,30.27391653750419,29.024968686125522,29.229154808213604,27.41389290374246,26.752197791307715
16,27.64203565860851,27.821395561217155,27.43067249185719,27.318934763585162,27.645117631598342,27.279371404766188,27.74542992023425,27.60478577423648,27.900189259031176,28.082637472623436,27.63636555711918,27.973381813630446,27.95995750186232,28.188027028762104,28.54969547848829,28.402622440445587,27.848904797645808,27.99765840516465,28.160368406496083,28.43739923869727,28.168964042800518,27.921386979916043,28.107705584802048,27.732984208169032
17,25.977711365573853,25.69611503395595,25.5652560994895,25.497899988703345,25.118899492731018,25.3038670057996,25.36365946863494,25.65193232068266,25.69008673359502,25.8892997232034,25.900260923387467,25.80414665930361,26.11166023576723,26.30519913442913,26.936587841544693,26.069017502869286,26.05603185546227,25.55079641523821,26.26961058255607,26.715621893333157,26.30083630265932,25.601735161626983,26.64202290354922,25.98931483309385
18,32.56628862606342,31.889659785119918,33.12573806487581,32.71586321314239,32.80798640512486,31.794834301573406,32.46349148686235,33.13235054833017,33.016054932471256,33.31347929020462,32.43524166326263,31.731854310454914,32.852915524061245,33.64489796371148,32.8469650676892,34.61085199089047,32.288853104787584,32.89325509614161,32.952010692666335,32.26594844223346,32.20947447880887,31.503627246636782,30.802234792740496,29.253823285716173
19,22.308840724673892,21.306798169710895,22.383097092891997,21.724356308134357,22.48815666134505,22.145611239327792,22.33772243868922,22.305440619501265,22.056588971065842,23.19541620469788,22.338272725248338,22.447124708047212,22.22232841109008,22.371829020663974,23.044980202607963,23.19542221583531,22.51160184771816,22.24579630807051,22.78554879174234,23.235572754426084,22.43289096725541,22.692850942068297,22.10321784241493,21.935615947530128
20,35.041283008362385,33.461242569549974,35.67671268663663,36.30285831979001,35.5932199314526,35.35615232424275,35.80328574774594,34.67306383345578,34.990238015373166,34.356667067814186,36.15835521364442,34.49175386824414,35.818704602305296,36.868090453029595,36.40644135716789,35.4665479522404,33.261282821450415,35.331706685139046,34.76176955779096,35.87739216743854,35.59709750244408,34.905588727274335,32.70940076056401,32.17215486070894
21,24.026254704842074,22.090445148759944,23.901184819842708,23.617160746997182,24.653391247946015,23.549701978828296,23.595835948410496,25.268366005151453,24.730870556934224,25.434404185409427,24.362107395431263,23.89766749405002,23.955602138557744,23.86187132071544,24.210470037414833,25.942833112088174,24.39398879768924,23.139599375257678,23.884200615267446,24.816082689085533,23.82866988897336,24.52882657261718,24.258364345340873,22.041422717032663
22,23.535343065536747,23.506362670935026,23.41429300598631,23.212025843421202,23.65313593929957,23.351362531169368,23.683550118610068,23.271933829833433,24.05989920757213,24.27471772322943,23.361073792567396,24.002126714485406,24.024409617829768,23.85195847800909,24.491000425481378,24.630414306526156,23.716809078365355,24.144423799972508,23.61302561039436,24.19825008310595,24.02659440216632,23.76647005028523,24.111508890838266,23.672335009822827
23,34.79103662990819,34.00921291151386,34.9345122461499,34.66527582045719,34.257777609564926,33.92813537428539,34.35390663502691,34.5127551645187,34.740650514368,35.06332788607036,34.30994522757066,33.821276539374445,34.62625766331213,35.32162869334697,34.6048976725672,36.009903776963114,34.379719007163395,34.9173973178395,34.83165076110434,34.28896594880769,34.18423363662076,33.38853135333884,33.18159029735918,31.49380449621792
24,32.37027014983496,30.804858862203808,34.864947732455875,35.025431974962615,35.05156415397131,32.86510096908255,34.51035607493228,31.85104551157134,33.482989894393405,32.32273722575087,35.07040884141544,31.917308356133127,34.67839062384871,36.37132179341605,33.496502900635434,33.44103599344667,30.593654241511615,34.80540299444451,32.88349974715432,35.08447047488155,34.793654197668,35.01808891998631,31.40642593054018,31.608318549836156
25,26.876507565449657,26.634658584059604,26.32500334754277,25.880810926118976,26.167020731759205,26.23232802385698,26.18148923394881,26.552860105072845,26.805357226526233,26.8044856498889,26.601759608707518,26.561962060226985,26.830730890560705,27.00580960062364,27.483696358682064,26.915593856878463,26.738876599746675,26.69357776842379,26.971823227492223,27.220809544208404,26.82646878003711,26.54017367355325,27.249163801420295,26.315931633624498
