ubigeo,no2_mean_2019,no2_mean_2020,no2_mean_2021,no2_mean_2022,no2_mean_2023,no2_mean_2024
01,3.2886974813028275e-5,3.4653129552995205e-5,3.608347509170327e-5,3.983534616859976e-5,3.393048720227943e-5,3.5553689419965394e-5
02,3.75618581025812e-5,3.897439457651153e-5,3.9225591384186865e-5,4.3813958569835665e-5,3.7958024091765886e-5,4.0740195784035095e-5
03,3.86014693184935e-5,4.043721849223483e-5,3.890752449647637e-5,4.340826017406396e-5,3.837554658545479e-5,4.1060953601021345e-5
04,4.2889227596295606e-5,4.389165904521083e-5,4.2776174946146056e-5,4.705106227608693e-5,4.248567863359625e-5,4.600562498035553e-5
05,3.8584009756640295e-5,4.019970102804031e-5,3.882272193662643e-5,4.304354613656511e-5,3.7633921826370754e-5,4.058548398661811e-5
06,3.424877313134691e-5,3.604725522425407e-5,3.694646248056115e-5,4.0986038562293404e-5,3.492279726574207e-5,3.690203234144233e-5
07,9.561534488169849e-5,8.27013737993336e-5,9.978648720286873e-5,1.098827781481305e-4,9.581426669241224e-5,1.022250560704842e-4
08,3.755554246391504e-5,3.9318945329124576e-5,3.803343046905595e-5,4.248469819559725e-5,3.739930332026202e-5,4.044921459040049e-5
09,3.76422323595243e-5,3.932414301807229e-5,3.8080208953015556e-5,4.259828902468953e-5,3.690225031509216e-5,3.954596187729751e-5
10,3.5609452365970275e-5,3.723722518183515e-5,3.726788071456181e-5,4.185105994151001e-5,3.558127219319419e-5,3.797896858814887e-5
11,4.3607768113447336e-5,4.468448719984363e-5,4.391085867881562e-5,4.802694026131572e-5,4.307945464485146e-5,4.6536686302077034e-5
12,3.650988149184247e-5,3.832831522802125e-5,3.759914139235358e-5,4.211608621178619e-5,3.607088121826264e-5,3.863308131145668e-5
13,3.7524924573320115e-5,3.911150635403361e-5,3.956133200921547e-5,4.391623576226572e-5,3.772980526203151e-5,4.00478963174945e-5
14,3.9481530567886294e-5,4.167162949662095e-5,4.2483604128439575e-5,4.659496548070461e-5,3.9548978426257815e-5,4.2386217729779393e-5
15,4.9118941828749166e-5,4.758433244885942e-5,4.952332024784252e-5,5.570157955715719e-5,4.781994185105818e-5,5.1486010328010977e-5
16,3.392728929914093e-5,3.5829772055435674e-5,3.76238741340603e-5,4.1423325680094e-5,3.561280588167107e-5,3.7350175362647e-5
17,3.853498939523584e-5,4.085303063637867e-5,4.011604001011059e-5,4.480405203955024e-5,3.867817752358676e-5,4.245712818956725e-5
18,4.464888152348885e-5,4.527523886896162e-5,4.4558803077450795e-5,4.889483026102963e-5,4.462205876096637e-5,4.85769178375387e-5
19,3.587154793524935e-5,3.7592392653081295e-5,3.72154912377431e-5,4.167142416027135e-5,3.514740956128962e-5,3.774658797664958e-5
20,3.8355740947453005e-5,4.050470040201435e-5,4.2012397719882585e-5,4.547168598885019e-5,3.925984469107865e-5,4.117572571646759e-5
21,3.9113858855788744e-5,4.0971750396557525e-5,3.926141235076088e-5,4.341028880124513e-5,3.881424079726368e-5,4.1812958209695155e-5
22,3.436720632981134e-5,3.634873420899048e-5,3.7353991195768935e-5,4.1342521760886935e-5,3.541665848762751e-5,3.743161423713148e-5
23,4.561076514491292e-5,4.603407916937881e-5,4.570531124905154e-5,4.930926182624708e-5,4.4976424510044424e-5,4.955806499863664e-5
24,3.9432832618287845e-5,4.1324170774924725e-5,4.3322082119454604e-5,4.632085111869375e-5,4.1623184986082236e-5,4.2474850949352364e-5
25,3.650586112157396e-5,3.860913661485348e-5,3.870315782585367e-5,4.3546102491791576e-5,3.672659263086625e-5,3.976120381765751e-5
