ubigeo,no2_mean_2019,no2_mean_2020,no2_mean_2021,no2_mean_2022,no2_mean_2023,no2_mean_2024
030220,3.8468677903941354e-5,4.0421190038942006e-5,3.889688934549424e-5,4.326069721113747e-5,3.768679498782017e-5,4.062578225047255e-5
030415,3.675216723088174e-5,3.845864204014899e-5,3.6841109597954215e-5,4.18394688198542e-5,3.6098723476096894e-5,3.9009553997799775e-5
030409,3.572833250940001e-5,3.7875692793994555e-5,3.639755456429231e-5,4.111053861386656e-5,3.526996824572141e-5,3.833499614749359e-5
030214,3.796176467573137e-5,4.0166505682838276e-5,3.8472013516094975e-5,4.339387724937132e-5,3.721100429128388e-5,4.0639587604289535e-05
030206,3.803471184037509e-5,3.987728635496266e-5,3.8105371361875016e-5,4.325191709885022e-5,3.6988251863389965e-5,4.0115576943796955e-5
030404,3.951767429124474e-5,4.101061027364701e-5,3.971320385266683e-5,4.482179470549176e-5,3.9039703942373824e-5,4.207740096666269e-5
030406,3.829777475695059e-5,4.006420843866309e-5,3.828227852358543e-5,4.258667828055542e-5,3.7631611234279106e-5,4.023756664077702e-5
030301,3.8302341853087965e-5,3.9870741372930565e-5,3.835692269107712e-5,4.2832402805981745e-5,3.7642922623777334e-5,4.0420948832182755e-5
030403,3.8317054172045416e-5,3.9750713556555095e-5,3.847504037928382e-5,4.25906904341589e-5,3.789004611138582e-5,4.0501755630145244e-5
030303,3.8134915842761313e-5,3.9984468601388306e-5,3.832740363374787e-5,4.26168277261655e-5,3.793415560535672e-5,4.046334904041519e-5
030307,3.824905704999515e-5,3.982961985791744e-5,3.831934223087851e-5,4.2581601621445775e-5,3.793370412488898e-5,4.062365488357143e-5
030405,3.720627958091549e-5,3.88006903719848e-5,3.7558835986191156e-5,4.204488278921501e-5,3.653068992890366e-5,3.9855214879976135e-5
030304,3.821261369740456e-5,3.970535984539119e-5,3.828975448353127e-5,4.280291586150266e-5,3.781247178452859e-5,4.0487909614128825e-5
030713,3.912430692906102e-5,4.0975234654619825e-5,3.931598890152748e-5,4.3215795030685666e-5,3.915323690722957e-5,4.17383510427958e-5
030401,3.8139975301951324e-5,3.967593991454361e-5,3.861057664676166e-5,4.280058883589679e-5,3.762211803404477e-5,4.050405415045103e-5
030410,3.767950971418482e-5,3.9290625781802196e-5,3.829793606010531e-5,4.222845063398934e-5,3.7335065763873135e-5,4.0065784058990385e-5
030305,3.8851683788606965e-5,4.072351338942369e-5,3.9039335729858245e-5,4.3377263585893734e-5,3.875068919973432e-5,4.1310822732267346e-5
030417,3.786210618506027e-5,3.974038802470737e-5,3.8535333616400086e-5,4.247559886960261e-5,3.750326217652229e-5,4.040941844858476e-5
030504,4.0770476198251564e-5,4.230586710410205e-5,4.125336140565075e-5,4.5587303183039406e-5,4.110958021006458e-5,4.438378159511979e-5
030705,4.06092145049122e-5,4.204886955341654e-5,4.026288733498693e-5,4.396802683425378e-5,4.0373544717543554e-5,4.249248271054045e-5
030711,4.0283798593777214e-5,4.200684393967681e-5,4.0241006911417974e-5,4.38417740836615e-5,4.059038033450595e-5,4.267952057556544e-5
030709,4.1197562454183196e-5,4.293153968669112e-5,4.032848940797381e-5,4.463271058319704e-5,4.142845546085237e-5,4.322015732038486e-5
030707,3.9287801624444726e-5,4.09818042829087e-5,3.917855566544897e-5,4.3036692270690194e-5,3.9029994856853895e-5,4.1344493355107516e-5
030412,3.806443454485296e-5,3.974390816790567e-5,3.862819094638711e-5,4.2548175552078855e-5,3.776167248351576e-5,4.0460342152831054e-5
030306,3.7223796191195275e-5,3.9169527776429355e-5,3.7602898246244905e-5,4.187695406953907e-5,3.690533298281638e-5,3.9467660189393876e-5
030710,4.0787771347906454e-5,4.274436703219475e-5,4.025862678846989e-5,4.4489414415772884e-5,4.145338016300797e-5,4.3090880946019416e-5
030506,4.336208403947951e-5,4.5342388442592e-5,4.308302153010138e-5,4.8328206373407596e-5,4.5019375691272956e-5,4.714026746073858e-5
030210,3.781189772152993e-5,3.947619368995873e-5,3.8368466846710686e-5,4.245863416427846e-5,3.735590748329913e-5,4.0127656451534655e-5
030413,3.846381421684159e-5,3.9927068854716544e-5,3.8927249041587606e-5,4.349424939275995e-5,3.835054546482601e-5,4.109513543015619e-5
080707,4.0424963392248556e-5,4.211354878795256e-5,4.12674679995539e-5,4.523839968349951e-5,4.078826602345162e-5,4.3922006524562084e-5
080503,3.875244759435539e-5,4.0292798116468205e-5,3.893368590430473e-5,4.3492454244648274e-5,3.972265398056841e-5,4.3423827862265e-5
080504,3.871263033409785e-5,3.997694385742158e-5,3.8471709522977336e-5,4.319278554723279e-5,3.901573671393596e-5,4.3101365569914705e-5
080505,3.7943904625126977e-5,3.946031647282231e-5,3.7927083722898986e-5,4.2588556002593676e-5,3.8679260318986955e-5,4.259288279543153e-5
030302,3.6762344366826075e-5,3.8438078095960214e-5,3.697879242912969e-5,4.1297319810823604e-5,3.590744637622798e-5,3.881282609427805e-5
030701,3.8112211897896206e-5,4.0151251340200404e-5,3.8144055930713267e-5,4.2275250261143275e-5,3.795183971397568e-5,4.0468642821386005e-5
030414,3.811593758853388e-5,3.9774313103580046e-5,3.879862953530322e-5,4.313951519035969e-5,3.7888647150673375e-5,4.0753627390840825e-5
080508,3.836125538265874e-5,3.9853523666784116e-5,3.8459919912507916e-5,4.29111158447699e-5,3.866550105320219e-5,4.221440753505827e-5
