ubigeo,no2_mean_2019,no2_mean_2020,no2_mean_2021,no2_mean_2022,no2_mean_2023,no2_mean_2024
0102,3.327942391233507e-5,3.4993407374450784e-5,3.652373260939253e-5,4.0430658682549616e-5,3.4441834547682667e-5,3.6051503711496346e-5
0103,3.222435101262384e-5,3.391604492492217e-5,3.515532896109537e-5,3.878660175312279e-5,3.2982665278792224e-5,3.466022927931379e-5
0101,3.214012589630922e-5,3.39022242026532e-5,3.4779259993820764e-5,3.853817737037908e-5,3.2761360481045005e-5,3.440602244257132e-5
0104,3.3142532817119685e-5,3.4882621403302894e-5,3.667239409405203e-5,4.0251352630382364e-5,3.4334205340813425e-5,3.593523535117448e-5
0105,3.21907528270037e-5,3.417592632848069e-5,3.484566885446359e-5,3.893851520416982e-5,3.308133701334582e-5,3.4755794496285874e-5
0106,3.205403126349571e-5,3.378609072368703e-5,3.482547620556515e-5,3.8561683120704134e-5,3.2787993412543954e-5,3.428785538551013e-5
0107,3.330487711181181e-5,3.5159347910341636e-5,3.62582072757735e-5,4.036877845351646e-5,3.4350962510675086e-5,3.6075514068817844e-5
0202,3.789181200536417e-5,3.905057234401178e-5,3.908542209471878e-5,4.4363629893512704e-5,3.9301713451887136e-5,4.2466448165429494e-5
0203,3.4446909447276624e-5,3.6311994330197665e-5,3.620226851263407e-5,4.063534575831159e-5,3.515447391949562e-5,3.749765307799228e-5
0204,3.444334766207512e-5,3.603765277682701e-5,3.599851447691986e-5,4.05897177344655e-5,3.516159741176647e-5,3.788832685015232e-5
0205,3.66491447097591e-5,3.7990097500185165e-5,3.818373210918081e-5,4.269480802043246e-5,3.6576277566948304e-5,3.933374077481742e-5
0206,3.52881350976884e-5,3.6973922976479364e-5,3.693013491921576e-5,4.13720893374427e-5,3.6148578472439546e-5,3.9317242772329024e-5
0207,3.50240015804454e-5,3.672831428520667e-5,3.696928543922345e-5,4.1361217471827336e-5,3.5775776676189605e-5,3.825914758661703e-5
0208,4.120282822839404e-5,4.240272302062967e-5,4.277164378890702e-5,4.734715327374339e-5,4.135171052943591e-5,4.440663935407532e-5
0209,3.440281154631061e-5,3.6270912504938164e-5,3.643733366754357e-5,4.0803598878134857e-05,3.493058098376221e-5,3.688536175788524e-5
0201,3.6855859811695e-5,3.838558034139215e-5,3.825826248783519e-5,4.3269026385032134e-5,3.80358572906732e-5,4.120574121411147e-5
0210,3.557783783618141e-5,3.716017636527667e-5,3.742057610902052e-5,4.2416744865001617e-5,3.683015112011287e-5,3.995816938968967e-5
0211,4.211176232344212e-5,4.2883251996211566e-5,4.3636642977780265e-5,4.809938502798802e-5,4.19357384930478e-5,4.541805165875476e-5
0212,3.582470093256224e-5,3.748912414883266e-5,3.751953216770211e-5,4.192875218411959e-5,3.613979533221993e-5,3.861548056580636e-5
0213,3.3411982872469315e-5,3.52406635379616e-5,3.525935317051709e-5,3.968512274570912e-5,3.4113115337477176e-5,3.607912930818066e-5
0214,4.030498117949938e-5,4.149980625543686e-5,4.152941228037082e-5,4.632315942595961e-5,3.974858484126923e-5,4.245133682918227e-5
0215,3.4808025466408905e-5,3.661182403862543e-5,3.679049467189352e-5,4.101334150368542e-5,3.520940905264533e-5,3.695439542499699e-5
0216,3.397916436773756e-5,3.5807474925212626e-5,3.606743039411004e-5,4.0335355343333865e-5,3.463867312961439e-5,3.659624264435314e-5
0217,3.7411798311178466e-5,3.8394091053586355e-5,3.8768401015742117e-5,4.372861737831692e-5,3.795314499409509e-5,4.1629247434398705e-5
0218,4.087207571726202e-5,4.216568266403008e-5,4.2665691683562144e-5,4.713642338218205e-5,4.093174000411348e-5,4.3492805136490366e-5
0219,3.3509095079774234e-5,3.5432473360021355e-5,3.572655709012039e-5,4.002874717483335e-5,3.415297719890968e-5,3.602901024975578e-5
0220,3.587813686166238e-5,3.7645264245036533e-05,3.761429562474074e-5,4.2091083647074246e-5,3.650803299094083e-5,3.9492113969629016e-5
0301,3.8398321505254644e-5,4.017728618756646e-5,3.868975400857819e-5,4.350953241703828e-5,3.807079919228925e-5,4.0732254358922524e-5
0302,3.829464725107342e-5,4.039752045177147e-5,3.89412270992157e-5,4.3514288926023017e-5,3.793483615409438e-5,4.0906837913632845e-5
0303,3.835262368048512e-5,4.007586991899495e-5,3.85020402262373e-5,4.28861381031869e-5,3.803408412665733e-5,4.066889077764724e-5
