ubigeo,v6gl02_mean_2001_mean_2001,v6gl02_mean_2002_mean_2002,v6gl02_mean_2003_mean_2003,v6gl02_mean_2004_mean_2004,v6gl02_mean_2005_mean_2005,v6gl02_mean_2006_mean_2006,v6gl02_mean_2007_mean_2007,v6gl02_mean_2008_mean_2008,v6gl02_mean_2009_mean_2009,v6gl02_mean_2010_mean_2010,v6gl02_mean_2011_mean_2011,v6gl02_mean_2012_mean_2012,v6gl02_mean_2013_mean_2013,v6gl02_mean_2014_mean_2014,v6gl02_mean_2015_mean_2015,v6gl02_mean_2016_mean_2016,v6gl02_mean_2017_mean_2017,v6gl02_mean_2018_mean_2018,v6gl02_mean_2019_mean_2019,v6gl02_mean_2020_mean_2020,v6gl02_mean_2021_mean_2021,v6gl02_mean_2022_mean_2022
01,19.246058668072948,16.75029007228324,16.8595109860353,17.175412862707656,18.283470607917273,18.512474807090538,16.589693704472758,20.238646506972103,17.173356532710944,21.244059660146313,15.45910719396964,14.88904530541896,13.494483434022388,18.4393265490154,11.431870233134513,15.453338831435726,17.292452510781732,16.031264248839324,14.933001654644636,16.562407500067835,13.722946285570805,20.508399474728762
02,18.92869542169628,19.129487191655187,18.188360744132076,19.421673242060674,19.062267311773002,19.55556906701647,16.744877307772004,17.670295824825317,18.57526773164085,19.0633863354942,16.844580627746268,19.280425678493813,16.191158167935143,17.577727239949347,16.08204749781119,17.144449671663484,17.560163018845238,15.718823673245,17.844027020031163,17.493521431124854,16.487204729072715,21.04427775402023
03,16.124869278721704,15.98453173461888,16.220700213788422,16.508042579586913,18.078053618712932,15.453965539161127,15.964152570258921,15.118947603595144,14.211574574681439,17.20422884104609,16.132007906965573,15.43050834642571,13.443999475409829,13.48779878191243,15.004464677110738,14.50142306598459,14.913971791979568,14.64389923867822,14.938352258138442,15.229619804898395,13.603313923762979,16.040389896382163
04,12.98086452453967,15.48787273118737,14.768549459537422,17.023289531087112,13.974362101757043,14.356903745054515,15.656484964791906,15.281893070722209,14.813604213073377,15.683328647151114,14.238085558399641,13.157052266660527,11.759063001160355,14.697181634334518,14.123116217784204,13.47578485721696,13.659681412567119,11.77697421682725,13.3355658624184,12.499384097586344,11.969945205937147,16.11504030115301
05,15.437994079172048,15.477331102139608,15.18714690139935,16.81862532104728,17.101261704847097,14.9664035466631,15.239550690492349,14.688709490530536,14.514172943797911,16.4365815237121,14.730793804181678,15.297475726514534,13.334390207875431,13.507201022515666,14.304255391914262,13.580579319059867,14.563938688716204,12.972207536019402,15.129377350009412,14.383030548852382,12.489790766553773,15.883360969416671
06,16.70959371606752,15.620498963543957,15.860977774971495,16.285161204952498,17.529049552937817,17.088232006000897,14.796872702749535,16.467728544091834,16.101769515268806,19.134740461736687,16.141457961460244,14.632610821193863,13.6412727498572,14.954881697093334,13.285210353757494,14.212380216362446,14.524838663500876,13.423032798317609,14.535081844020166,16.02497020931617,14.519442205665372,17.423753247555982
07,18.145402861966026,19.388018051783245,19.24916346867879,19.30138221714232,20.153197116321987,18.93041918675105,19.53839936521318,20.9118183321423,20.25131528907352,20.263261583116318,19.88600327571233,19.78064368830787,20.174706710709465,19.90635821554396,21.274304111798603,19.237587518162197,20.424172918001812,20.826286408636307,20.76052380932702,16.89423743221495,19.597810235288406,26.15250908003913
08,16.82384702281094,16.985866362164824,16.472659751732152,18.547846823951,19.512057056262144,16.91390528534875,18.06426993927225,17.31767131833099,15.89512499641748,20.581556793382457,17.066877275710713,16.37453693731569,15.084505586321553,16.51930123043387,15.476024255022347,17.092865217383483,17.306653435320655,15.987699542181012,16.5660639783135,17.94334096734847,15.546706956496562,19.622467691317276
09,18.69492952509538,17.92482961035886,17.352647734981076,19.82600156449593,19.7726202513065,17.669314335129485,17.73510854364641,16.466350593423353,16.679957801340844,19.144632798631644,16.687979467134117,19.54684467620047,15.411923250809187,16.256993018485918,15.2274637392203,15.776548609922518,17.16988947233919,14.886017760401224,18.213417086989075,17.679481786898595,14.935512997944343,18.887631232010637
10,18.984262355144093,18.361664031224485,17.63297794648327,19.603363474885683,19.80029363575784,19.905333210866296,18.773626164816175,19.07715004654268,19.16103415526555,22.293233001752494,17.226345234941917,19.91637724579216,16.35806841540996,18.659428980243376,14.57667285875173,18.577330612751275,18.350635139684094,16.61184717524581,19.396691010983485,20.00829215413922,16.836848096121212,21.792617093129802
