"UBIGEO","lst_mean_2001","lst_mean_2002","lst_mean_2003","lst_mean_2004","lst_mean_2005","lst_mean_2006","lst_mean_2007","lst_mean_2008","lst_mean_2009","lst_mean_2010","lst_mean_2011","lst_mean_2012","lst_mean_2013","lst_mean_2014","lst_mean_2015","lst_mean_2016","lst_mean_2017","lst_mean_2018","lst_mean_2019","lst_mean_2020","lst_mean_2021","lst_mean_2022","lst_mean_2023","lst_mean_2024"
"010000",23.4646399806668,23.0828376661109,23.5419477287481,23.5908276510359,23.5513954731016,23.8827256161993,23.9245934331167,23.0339165171473,24.3344647138293,24.4640647596134,23.27114153882,23.6475011924849,24.0494306199922,24.0374425320172,23.7223288891678,24.6647612783119,23.5377490257264,23.8545559217408,23.0651300853818,23.9187652087676,23.527649349911,23.7212461508793,23.8448823516898,23.4315383262454
"020000",27.1942705751172,26.1019291438297,27.462658710259,26.699750388307,27.8767264482256,27.1443439747212,27.0725155967088,26.2981727960405,26.2900410277647,27.3565337922332,27.0167750527391,26.7021266011025,27.0271191778236,26.9522653761486,27.3094887608618,28.7972627530036,26.5090630398938,26.8036028413309,26.8730380498229,27.7413616204145,26.2511775275776,26.8637520950392,25.0309872675114,24.4754957166852
"030000",22.5396496978932,20.5619141367642,23.3343371180303,21.4986995565726,24.0778214141173,22.8301018491167,22.5657100908588,23.4718855823252,23.3629934317433,24.1590995669373,22.7344952955004,22.229633909518,22.2217548670698,22.0798218348989,22.9502150689019,24.8182153104324,22.0523233702997,21.3671537161549,22.058748861077,23.5121863031051,22.429068345526,24.2170746078025,21.5282100503189,19.3967774613213
"040000",32.612279569777,31.7524348701297,33.0595239620034,32.4813928457701,32.9583538927587,32.0474948941994,32.0736711871067,32.9961130816901,32.6937222785877,33.3733603556725,32.5146243508701,31.7306757958866,32.7406721777024,33.1036417631527,32.7108859484522,34.248031668405,31.8224595958589,32.5398487767801,32.5536705454223,32.1604973818702,32.1384474445087,31.8120039919272,30.895822518487,29.2839379933984
"050000",25.5042510560687,24.30886755864,26.2312779223834,25.5528457251047,26.9842059228328,25.380954881702,25.4817331142511,26.2318218314894,25.7119001826035,27.0453655453341,25.5553927136972,25.0219092552707,25.4498550870436,25.6281924069921,25.9170569082771,28.0245523062721,24.8252828166353,25.0619414180323,25.1994590941092,26.0205893554191,25.1862279807784,25.8467751596695,23.955809786639,22.5531154547486
"060000",25.4629572210763,24.6609369440122,25.6684492268198,25.5674741853345,26.0366249698964,25.9847321692897,25.3177420908548,23.8210518812863,24.851794718332,25.8617567080927,24.777767155188,24.6331313541107,24.9903828249496,25.0708553978312,25.013402654689,26.824800350951,24.7143863113546,24.8541971099025,24.2143020477707,25.5979873582126,23.659094389099,24.8566635197903,23.8045514941297,23.9222346031704
"070000",35.8051920011038,31.8744245932425,31.9339246047333,31.1395368496515,31.645419009079,31.413686722493,32.6440974909196,34.7370292122162,32.9453761366457,32.9464534218958,33.2024594281168,34.2353660727591,32.9003982242006,34.6356051853023,34.0079846820457,33.7356790474908,35.7276933385862,33.5872719163963,35.135453716798,34.0964685380619,34.4022232702231,31.4640672156823,32.2381503068838,32.1774804643401
"080000",21.3640475891043,20.0532357247835,21.5706781662582,20.425453411469,21.768394761264,21.2235751273351,21.319856717131,21.7830999514305,21.7619709626431,22.4306165686166,21.3000291178809,21.5074184864879,21.3361027153504,21.3846120633091,21.5031155525619,22.3410179669922,21.2898232627421,20.7702446325248,21.6233146705118,22.2064103645751,21.4832868409108,21.8485408056015,21.1015261880843,20.0001096858091
"090000",23.7697692743977,22.669217131043,24.9499941070491,23.9232727920203,26.1563668785835,24.2853259885607,24.3345205586363,25.0537145907496,24.2798548210519,25.8988456577804,24.1092485886813,23.6055200720921,23.898713777277,23.4847358676255,24.536310889826,26.5775367463206,23.6509907383403,23.3074140821017,24.1220076209025,25.1912950952259,23.6084935891378,25.1322109639251,22.8580879746371,21.112618437552
"100000",21.9131781341023,20.9502906723741,21.8282582498612,21.0098516798155,22.1733665789313,21.7168251160761,21.9615202488547,21.7229698967422,21.5116794170955,22.6982945695083,21.6034779302775,22.2304471849893,21.9395537623796,22.0760785341808,22.5458986272452,23.029251389738,22.0548008058783,21.9680385486226,22.3517171750869,22.7130988143625,22.1492182502636,22.2383431502093,21.9731374794319,21.5433002491788
