"UBIGEO","no2_mean_2019","no2_mean_2020","no2_mean_2021","no2_mean_2022","no2_mean_2023","no2_mean_2024"
"010101",3.24806825029755e-05,3.42692024755882e-05,3.53582116560396e-05,3.89429177451224e-05,3.30275842854957e-05,3.48887815500862e-05
"010102",3.17813402412893e-05,3.32580723825818e-05,3.42873314084729e-05,3.80397249192954e-05,3.23872347838388e-05,3.37705351243501e-05
"010103",3.34225106558225e-05,3.51981143782043e-05,3.58515214367126e-05,4.0035801729667e-05,3.4141263931921e-05,3.59350216865429e-05
"010104",3.22093809222589e-05,3.38750014319293e-05,3.50989467546911e-05,3.84888334324904e-05,3.30245138339625e-05,3.46055894972795e-05
"010105",3.12733466124617e-05,3.31624719303853e-05,3.3861519367622e-05,3.7649015099339e-05,3.18375199125055e-05,3.32096875579264e-05
"010106",3.22208844195324e-05,3.40238339004886e-05,3.46727987184914e-05,3.85918539480907e-05,3.27889298063525e-05,3.45722301530779e-05
"010107",3.15122087002177e-05,3.33005115500283e-05,3.42660846990425e-05,3.79333187431832e-05,3.21485405453083e-05,3.37956091838752e-05
"010108",3.2074339489143e-05,3.39290874389185e-05,3.49184159644853e-05,3.8497475238009e-05,3.2774308139289e-05,3.42219071218391e-05
"010109",3.22700266821144e-05,3.43190142592028e-05,3.50601490077806e-05,3.89635662598242e-05,3.34034872640503e-05,3.45568369163964e-05
"010110",3.24565616595405e-05,3.44290076612106e-05,3.50547117790437e-05,3.91217664759993e-05,3.33557979455256e-05,3.50188705280111e-05
"010111",3.19042808954495e-05,3.35613684127095e-05,3.45393788644089e-05,3.83064007291138e-05,3.23549353215326e-05,3.41544177806166e-05
"010112",3.24834974581848e-05,3.41141736089004e-05,3.49373784747411e-05,3.86622840835583e-05,3.2922052243608e-05,3.45801786865083e-05
"010113",3.22359378129295e-05,3.38436559065639e-05,3.47232808793485e-05,3.84773693532517e-05,3.28551470681797e-05,3.41065633053586e-05
"010114",3.14554131995856e-05,3.31216988124222e-05,3.43401053709906e-05,3.78305918133683e-05,3.19955755856688e-05,3.38095656961138e-05
"010115",3.1757837657859e-05,3.33187660531932e-05,3.44038063952332e-05,3.7897628050597e-05,3.22205472761749e-05,3.36409904834793e-05
"010116",3.14887114245725e-05,3.32266787046389e-05,3.41297123858899e-05,3.75701102600159e-05,3.20602388059869e-05,3.36458733324442e-05
"010117",3.16140721267633e-05,3.32945351257043e-05,3.41950162040469e-05,3.77940007935326e-05,3.17789715458718e-05,3.33623616575147e-05
"010118",3.21610354087647e-05,3.35751003959192e-05,3.47026111635676e-05,3.80650001421774e-05,3.24735402848471e-05,3.41317835979229e-05
"010119",3.21597033198496e-05,3.37385303609009e-05,3.45873015415395e-05,3.81550084515785e-05,3.23452342400588e-05,3.42693814441156e-05
"010120",3.23250659582384e-05,3.3846670658285e-05,3.50655579713065e-05,3.84936871083624e-05,3.29307880100932e-05,3.43702388680346e-05
"010121",3.18693405560506e-05,3.37372351296717e-05,3.45387037006654e-05,3.83561380229715e-05,3.24600016911475e-05,3.40286403710741e-05
"010201",3.42812266066477e-05,3.60818907670392e-05,3.72881526587256e-05,4.17120060547433e-05,3.52404115334978e-05,3.69514289211191e-05
"010202",3.35540938874421e-05,3.52435491504519e-05,3.67700450355336e-05,4.06653384466029e-05,3.46914728315054e-05,3.63161999230635e-05
"010203",3.25532941237559e-05,3.43999870402294e-05,3.54284116655602e-05,3.93921836978061e-05,3.3468128831446e-05,3.50299099306183e-05
"010204",3.36023136245712e-05,3.50960443284901e-05,3.58933319442322e-05,4.05095066520243e-05,3.41640985214121e-05,3.62590931524531e-05
"010205",3.32148176233041e-05,3.49397008918101e-05,3.65021848299588e-05,4.03890138128852e-05,3.44156485344291e-05,3.60136939238026e-05
"010206",3.33510362694023e-05,3.46992476015587e-05,3.59340158432876e-05,3.99395699203483e-05,3.3825266272895e-05,3.5604227958302e-05
"010301",3.20439303229864e-05,3.36347169746849e-05,3.47359939968218e-05,3.84907309593599e-05,3.27847495785087e-05,3.45185475895844e-05
"010302",3.20288550376634e-05,3.37810101870406e-05,3.47808871838767e-05,3.83659928859647e-05,3.28618098073597e-05,3.46720442307747e-05
"010303",3.14576172127134e-05,3.37274443143533e-05,3.43497991209608e-05,3.83596407501494e-05,3.15096362312324e-05,3.42903365363345e-05
"010304",3.23707987263999e-05,3.37124706985183e-05,3.53090096697226e-05,3.85395902931407e-05,3.32325976480272e-05,3.48293616493993e-05
"010305",3.25314198053043e-05,3.41013841017113e-05,3.50631864080648e-05,3.8961538067372e-05,3.34446177562337e-05,3.52062474757824e-05
"010306",3.19540408731373e-05,3.36239035415155e-05,3.49266723485751e-05,3.854188492101e-05,3.27474201728908e-05,3.43709183760268e-05
"010307",3.30995079583913e-05,3.52427085462261e-05,3.58313199612711e-05,3.99407387391626e-05,3.44320431816173e-05,3.60814264996202e-05
"010308",3.23394767790899e-05,3.41283787651426e-05,3.52684353083729e-05,3.86455559021109e-05,3.31028813691351e-05,3.50167261250006e-05
"010309",3.14477982089578e-05,3.33657979767417e-05,3.41648922997179e-05,3.81520591170551e-05,3.18998292439222e-05,3.38530098775055e-05
"010310",3.16399500627181e-05,3.32028266120969e-05,3.40862907453392e-05,3.7681999959722e-05,3.25123418176118e-05,3.39014746418907e-05
"010311",3.13605652954047e-05,3.32548428543829e-05,3.37973254229914e-05,3.79256905683601e-05,3.20823620534176e-05,3.37173164020201e-05
"010312",3.23827241535439e-05,3.40538953446094e-05,3.54529996223782e-05,3.90112806376001e-05,3.31197783555331e-05,3.4766466162221e-05
"010401",3.39115801142461e-05,3.5584016211157e-05,3.70970332693766e-05,4.09557340123893e-05,3.49140086224666e-05,3.6523704646316e-05
"010402",3.24657504997863e-05,3.42296764617212e-05,3.59094452142196e-05,3.9494689821674e-05,3.3598271526168e-05,3.51415392470956e-05
"010403",3.32172923745974e-05,3.49756857849907e-05,3.69849778700398e-05,4.0415165134822e-05,3.45478715269737e-05,3.61846879115553e-05
