"ubigeo","no2_mean_2019","no2_mean_2020","no2_mean_2021","no2_mean_2022","no2_mean_2023","no2_mean_2024"
102,3.32794239123351e-05,3.49934073744508e-05,3.65237326093925e-05,4.04306586825496e-05,3.44418345476827e-05,3.60515037114963e-05
103,3.22243510126238e-05,3.39160449249222e-05,3.51553289610954e-05,3.87866017531228e-05,3.29826652787922e-05,3.46602292793138e-05
101,3.21401258963092e-05,3.39022242026532e-05,3.47792599938208e-05,3.85381773703791e-05,3.2761360481045e-05,3.44060224425713e-05
104,3.31425328171197e-05,3.48826214033029e-05,3.6672394094052e-05,4.02513526303824e-05,3.43342053408134e-05,3.59352353511745e-05
105,3.21907528270037e-05,3.41759263284807e-05,3.48456688544636e-05,3.89385152041698e-05,3.30813370133458e-05,3.47557944962859e-05
106,3.20540312634957e-05,3.3786090723687e-05,3.48254762055651e-05,3.85616831207041e-05,3.2787993412544e-05,3.42878553855101e-05
107,3.33048771118118e-05,3.51593479103416e-05,3.62582072757735e-05,4.03687784535165e-05,3.43509625106751e-05,3.60755140688178e-05
202,3.78918120053642e-05,3.90505723440118e-05,3.90854220947188e-05,4.43636298935127e-05,3.93017134518871e-05,4.24664481654295e-05
203,3.44469094472766e-05,3.63119943301977e-05,3.62022685126341e-05,4.06353457583116e-05,3.51544739194956e-05,3.74976530779923e-05
204,3.44433476620751e-05,3.6037652776827e-05,3.59985144769199e-05,4.05897177344655e-05,3.51615974117665e-05,3.78883268501523e-05
205,3.66491447097591e-05,3.79900975001852e-05,3.81837321091808e-05,4.26948080204325e-05,3.65762775669483e-05,3.93337407748174e-05
206,3.52881350976884e-05,3.69739229764794e-05,3.69301349192158e-05,4.13720893374427e-05,3.61485784724395e-05,3.9317242772329e-05
207,3.50240015804454e-05,3.67283142852067e-05,3.69692854392235e-05,4.13612174718273e-05,3.57757766761896e-05,3.8259147586617e-05
208,4.1202828228394e-05,4.24027230206297e-05,4.2771643788907e-05,4.73471532737434e-05,4.13517105294359e-05,4.44066393540753e-05
209,3.44028115463106e-05,3.62709125049382e-05,3.64373336675436e-05,4.08035988781349e-05,3.49305809837622e-05,3.68853617578852e-05
201,3.6855859811695e-05,3.83855803413921e-05,3.82582624878352e-05,4.32690263850321e-05,3.80358572906732e-05,4.12057412141115e-05
210,3.55778378361814e-05,3.71601763652767e-05,3.74205761090205e-05,4.24167448650016e-05,3.68301511201129e-05,3.99581693896897e-05
211,4.21117623234421e-05,4.28832519962116e-05,4.36366429777803e-05,4.8099385027988e-05,4.19357384930478e-05,4.54180516587548e-05
212,3.58247009325622e-05,3.74891241488327e-05,3.75195321677021e-05,4.19287521841196e-05,3.61397953322199e-05,3.86154805658064e-05
213,3.34119828724693e-05,3.52406635379616e-05,3.52593531705171e-05,3.96851227457091e-05,3.41131153374772e-05,3.60791293081807e-05
