"UBIGEO","v6gl02_mean_2001_mean_2001","v6gl02_mean_2002_mean_2002","v6gl02_mean_2003_mean_2003","v6gl02_mean_2004_mean_2004","v6gl02_mean_2005_mean_2005","v6gl02_mean_2006_mean_2006","v6gl02_mean_2007_mean_2007","v6gl02_mean_2008_mean_2008","v6gl02_mean_2009_mean_2009","v6gl02_mean_2010_mean_2010","v6gl02_mean_2011_mean_2011","v6gl02_mean_2012_mean_2012","v6gl02_mean_2013_mean_2013","v6gl02_mean_2014_mean_2014","v6gl02_mean_2015_mean_2015","v6gl02_mean_2016_mean_2016","v6gl02_mean_2017_mean_2017","v6gl02_mean_2018_mean_2018","v6gl02_mean_2019_mean_2019","v6gl02_mean_2020_mean_2020","v6gl02_mean_2021_mean_2021","v6gl02_mean_2022_mean_2022"
"010000",19.2460586680729,16.7502900722832,16.8595109860353,17.1754128627077,18.2834706079173,18.5124748070905,16.5896937044728,20.2386465069721,17.1733565327109,21.2440596601463,15.4591071939696,14.889045305419,13.4944834340224,18.4393265490154,11.4318702331345,15.4533388314357,17.2924525107817,16.0312642488393,14.9330016546446,16.5624075000678,13.7229462855708,20.5083994747288
"020000",18.9286954216963,19.1294871916552,18.1883607441321,19.4216732420607,19.062267311773,19.5555690670165,16.744877307772,17.6702958248253,18.5752677316408,19.0633863354942,16.8445806277463,19.2804256784938,16.1911581679351,17.5777272399493,16.0820474978112,17.1444496716635,17.5601630188452,15.718823673245,17.8440270200312,17.4935214311249,16.4872047290727,21.0442777540202
"030000",16.1248692787217,15.9845317346189,16.2207002137884,16.5080425795869,18.0780536187129,15.4539655391611,15.9641525702589,15.1189476035951,14.2115745746814,17.2042288410461,16.1320079069656,15.4305083464257,13.4439994754098,13.4877987819124,15.0044646771107,14.5014230659846,14.9139717919796,14.6438992386782,14.9383522581384,15.2296198048984,13.603313923763,16.0403898963822
"040000",12.9808645245397,15.4878727311874,14.7685494595374,17.0232895310871,13.974362101757,14.3569037450545,15.6564849647919,15.2818930707222,14.8136042130734,15.6833286471511,14.2380855583996,13.1570522666605,11.7590630011604,14.6971816343345,14.1231162177842,13.475784857217,13.6596814125671,11.7769742168273,13.3355658624184,12.4993840975863,11.9699452059371,16.115040301153
"050000",15.437994079172,15.4773311021396,15.1871469013994,16.8186253210473,17.1012617048471,14.9664035466631,15.2395506904923,14.6887094905305,14.5141729437979,16.4365815237121,14.7307938041817,15.2974757265145,13.3343902078754,13.5072010225157,14.3042553919143,13.5805793190599,14.5639386887162,12.9722075360194,15.1293773500094,14.3830305488524,12.4897907665538,15.8833609694167
"060000",16.7095937160675,15.620498963544,15.8609777749715,16.2851612049525,17.5290495529378,17.0882320060009,14.7968727027495,16.4677285440918,16.1017695152688,19.1347404617367,16.1414579614602,14.6326108211939,13.6412727498572,14.9548816970933,13.2852103537575,14.2123802163624,14.5248386635009,13.4230327983176,14.5350818440202,16.0249702093162,14.5194422056654,17.423753247556
"070000",18.145402861966,19.3880180517832,19.2491634686788,19.3013822171423,20.153197116322,18.930419186751,19.5383993652132,20.9118183321423,20.2513152890735,20.2632615831163,19.8860032757123,19.7806436883079,20.1747067107095,19.906358215544,21.2743041117986,19.2375875181622,20.4241729180018,20.8262864086363,20.760523809327,16.894237432215,19.5978102352884,26.1525090800391
"080000",16.8238470228109,16.9858663621648,16.4726597517322,18.547846823951,19.5120570562621,16.9139052853488,18.0642699392723,17.317671318331,15.8951249964175,20.5815567933825,17.0668772757107,16.3745369373157,15.0845055863216,16.5193012304339,15.4760242550223,17.0928652173835,17.3066534353207,15.987699542181,16.5660639783135,17.9433409673485,15.5467069564966,19.6224676913173
"090000",18.6949295250954,17.9248296103589,17.3526477349811,19.8260015644959,19.7726202513065,17.6693143351295,17.7351085436464,16.4663505934234,16.6799578013408,19.1446327986316,16.6879794671341,19.5468446762005,15.4119232508092,16.2569930184859,15.2274637392203,15.7765486099225,17.1698894723392,14.8860177604012,18.2134170869891,17.6794817868986,14.9355129979443,18.8876312320106
"100000",18.9842623551441,18.3616640312245,17.6329779464833,19.6033634748857,19.8002936357578,19.9053332108663,18.7736261648162,19.0771500465427,19.1610341552656,22.2932330017525,17.2263452349419,19.9163772457922,16.35806841541,18.6594289802434,14.5766728587517,18.5773306127513,18.3506351396841,16.6118471752458,19.3966910109835,20.0082921541392,16.8368480961212,21.7926170931298
"110000",17.4028415250638,19.6727864974116,19.8008246526762,19.5380899609634,16.8636345593281,17.324195449034,18.887745020184,20.3399630415294,18.4608426863527,17.6576656486852,17.5191136826466,14.7540525889308,14.1613181114152,19.930853926155,17.788333441408,17.100681796154,17.9471210624583,16.3436860214,14.7673223619612,12.2335998005935,14.7918163637386,21.9962535890634
"120000",19.5641875921329,18.971168441526,17.5257076633484,20.2702455252166,21.5622602304976,19.3877470303317,18.6145685170417,18.1728658785089,18.6938481381668,23.1678959911343,17.5624530448983,20.3263664707528,17.861404546001,19.5375095617523,16.1671013478247,20.0044973064528,19.740645166602,17.5352787704113,20.1379508733101,20.9117331712114,17.0742977456839,22.5241268385786
"130000",16.1380816632544,16.418800281477,16.2294789301598,16.8075686957672,16.9993295299944,16.8721431631704,15.4511896896558,14.9219573449081,15.687545167752,17.5227450371015,15.4253298952111,15.4114979673656,14.2033775812047,14.8607987590033,14.1885253043998,15.4777385538103,15.0057814164053,14.2173697843418,15.2954209058107,15.3085694772801,14.5061028562825,18.2982855185219
"140000",13.68547219642,18.9880863428681,16.760698572248,13.5120081613957,16.7747637346475,14.9811282377063,12.8360336701758,15.1129630968113,16.0843915453876,17.0824430379582,16.0914354395352,15.0994884569337,13.9504056657603,15.1790297463116,15.0601509627206,15.0674775105585,16.367672070874,15.972867078774,13.6083103727489,12.1078264467171,13.0689388167468,19.7224923224679
"150000",19.362041089064,20.7725591980997,19.9896813896391,22.1569104428102,20.7615215611632,20.8836645241793,20.1879428169491,21.7475941471306,21.1723152342673,20.8292089618974,19.2145826924436,20.9205903370594,17.1027331854842,20.6115229127067,20.1926790066676,20.3441101421604,20.6435812537642,17.377893761604,20.3492776027164,20.1324832250911,18.5273791562214,24.2643174159407
"160000",19.1727047974907,16.5025836021784,17.5455809311915,18.8932518388283,16.7515062604806,18.7648623002032,18.6821308235947,18.9788605079536,16.5475290911942,21.4581864592793,15.1077556827155,17.5720506076001,16.6342704058588,14.6344646877939,14.5020503806082,16.8572332644287,17.9776996603425,18.3983759604354,20.0022983162702,19.3235626771542,15.6491847606819,20.8952330621836
